序號,行政區,院所名稱,卡介苗門診,幼兒常規,幼兒流感3歲以下,幼兒流感3歲以上,成人流感,COVID-19,肺炎鏈球菌,輪狀病毒,M痘門診,腸病毒門診,地址,電話,語音預約
1,63000010,長庚醫療財團法人台北長庚紀念醫院,1,1,1,1,1,1,1,1,1,1,臺北市松山區敦化北路199號,(02)27135211,
2,63000010,臺北市立聯合醫院附設松山門診部,1,1,1,1,1,1,1,1,,1,臺北市松山區八德路四段694號,(02)27653147,
3,63000010,三軍總醫院松山分院附設民眾診療服務處,,1,1,1,1,1,1,1,1,1,臺北市松山區健康路131號,(02)27642151,
4,63000010,基督復臨安息日會醫療財團法人臺安醫院,1,1,1,1,1,1,1,1,,,臺北市松山區八德路二段424號,(02)27718151,
5,63000010,江崇萍小兒科診所,,1,1,1,1,1,1,1,,1,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,
6,63000010,車參薇小兒科診所,,1,1,1,1,1,1,1,,1,臺北市松山區八德路三段195號１樓,(02)25770101,
7,63000010,博仁綜合醫院,,1,1,1,1,1,1,1,,,臺北市松山區光復北路66號,(02)25786677,
8,63000010,佑家診所,,1,1,1,1,1,1,1,,,臺北市松山區八德路三段233號,(02)25785658,
9,63000010,大家好診所,,1,1,1,1,1,1,,,,臺北市松山區民生東路四段80巷11弄2號1樓,(02)27138815,
10,63000010,閎新耳鼻喉科皮膚科聯合診所,,1,1,1,1,1,1,,,,臺北市松山區八德路三段20-2號1樓,(02)25779898,
11,63000010,劉內兒科診所,,1,1,1,1,1,1,,,,臺北市松山區民生東路五段148號1樓,(02)27603922,
12,63000010,安兒康小兒專科診所,,1,1,1,1,1,,1,,,臺北市松山區敦化北路118號1樓,(02)77287688,
13,63000010,心田民生診所,,1,1,1,1,1,,1,,,臺北市松山區民生東路五段105號1樓,(02)27653039,
14,63000010,弘宇診所,,,1,1,1,1,1,,,,臺北市松山區民權東路三段160巷2之6號,(02)27128875,
15,63000010,全煜耳鼻喉科診所,,1,,1,1,1,,,,,臺北市松山區復興北路73號2樓,(02)87729068,
16,63000010,弘光耳鼻喉科診所,,,1,,1,1,1,,,,臺北市松山區民生東路四段117號,(02)27181177,
17,63000010,吳慶南內科診所,,,,1,1,1,1,,,,臺北市松山區民生東路五段138號,(02)27659566,
18,63000010,宥全診所,,,,1,1,1,1,,,,臺北市松山區民生東路五段216號1樓,(02)27678225,
19,63000010,陳炳堅內科診所,,,,1,1,1,1,,,,臺北市松山區延壽街327號,(02)27637199,
20,63000010,駿昂耳鼻喉科診所,,,,1,1,1,1,,,,臺北市松山區八德路二段395號1樓,(02)87728086,
21,63000010,畇力診所,,,,1,1,,1,,,,臺北市松山區富錦街512號1樓,(02)27659022,
22,63000010,林忠志診所,,,,1,1,,1,,,,臺北市松山區南京東路五段291巷20弄3-3號,(02)27689577,
23,63000010,邱楠超診所,,,,1,,1,1,,,,臺北市松山區延吉街20號1樓,(02)25702296,
24,63000010,王躬仁診所,,,,,1,1,1,,,,臺北市松山區新中街12-3號1樓,(02)27646685,
25,63000010,民生翁耳鼻喉科診所,,,,,1,1,1,,,,臺北市松山區民生東路五段78號1樓,(02)27625922,
26,63000010,康瑞耳鼻喉科診所,,,,,1,1,1,,,,臺北市松山區八德路三段154號,(02)25782522,
27,63000010,江建中診所,,,,,1,1,1,,,,臺北市松山區八德路四段285號,(02)27647883,
28,63000010,安德聯合診所,,,,,1,1,1,,,,臺北市松山區八德路三段34號4樓及12樓,(02)25705886,
29,63000010,民安診所,,,,,1,1,1,,,,臺北市松山區民生東路五段76號1樓,(02)27660656,
30,63000010,澄東耳鼻喉科診所,,,,1,1,,,,,,臺北市松山區三民路37號,(02)27420552,
31,63000010,安禾聯合診所,,,,,1,1,,,,,臺北市松山區民權東路三段178號3樓,(02)27137889,
32,63000010,朱家庭醫學科診所,,,,,1,,,,,,臺北市松山區八德路三段12巷57弄39-1號1樓,(02)25795004,
33,63000020,臺北醫學大學附設醫院,1,1,1,1,1,1,1,1,1,1,臺北市信義區吳興街252號,(02)27372181,
34,63000020,臺北市立聯合醫院附設信義門診部,1,1,1,1,1,1,1,1,,1,臺北市信義區大道路116號1樓,(02)87804152,
35,63000020,黃啟彰診所,,1,1,1,1,1,1,1,,1,臺北市信義區松山路261-1號,(02)27696218,
36,63000020,張育驍診所,,1,1,1,1,1,1,1,,,臺北市信義區吳興街467巷2弄6號1樓,(02)27296611,
37,63000020,明輝診所,,1,1,1,1,1,,1,,1,臺北市信義區松隆路282-3號,(02)87871235,
38,63000020,林應然小兒科診所,,1,1,1,1,1,,1,,1,臺北市信義區福德街75號,(02)27595328,
39,63000020,長風小兒科診所,,1,1,1,1,1,,1,,1,臺北市信義區莊敬路351號,(02)27227943,
40,63000020,登瑞安診所,,1,1,1,1,1,1,,,,臺北市信義區林口街232號,(02)27265228,
41,63000020,信義邱婦產科診所,,,1,1,1,1,1,1,,,臺北市信義區虎林街198號,(02)27278275,
42,63000020,承芯耳鼻喉科診所,,,1,1,1,1,1,,,,臺北市信義區大道路121號1樓,(02)27265025,
43,63000020,原力復健科診所,,,1,1,1,1,1,,,,臺北市信義區基隆路二段145號,(02)27327311,
44,63000020,臺北產業醫診所,,,1,1,1,1,1,,,,臺北市信義區信義路五段7號35樓,(02)81016355,
45,63000020,莊敬診所,,,1,1,1,1,,,,,臺北市信義區莊敬路280號,(02)27589258,
46,63000020,聯合報系員工診療所,,,,1,1,1,1,,,,臺北市信義區忠孝東路四段559巷1號6樓,(02)27601618,
47,63000020,松仁耳鼻喉科診所,,,,1,1,1,,,,,臺北市信義區松仁路231號,(02)87808580,
48,63000020,臺北市立聯合醫院松德院區,,,,,1,1,1,,,,臺北市信義區松德路309號,(02)27263141,
49,63000020,王寬仁診所,,,,,1,1,1,,,,臺北市信義區虎林街121巷11號1樓,(02)27204952,
50,63000020,永吉羅耳鼻喉科診所,,,,,1,1,1,,,,臺北市信義區永吉路272號,(02)27683191,
51,63000020,朱耳鼻喉科診所,,,,,1,1,1,,,,臺北市信義區忠孝東路五段452號,(02)27209172,
52,63000020,松山班廷建興診所,,,,,1,1,1,,,,臺北市信義區市民大道六段318號,(02)27652295,
53,63000020,栢麗恆全人診所,,,,,1,1,1,,,,臺北市信義區忠孝東路五段431號2樓,(02)27657065,
54,63000020,福德郭耳鼻喉科診所,,,,,1,1,1,,,,臺北市信義區福德街62號,(02)27591051,
55,63000020,松禾診所,,,,1,1,,,,,,臺北市信義區松山路130號3樓,(02)27666738,
56,63000020,大明診所,,,,,1,1,,,,,臺北市信義區崇德街35號,(02)27326885,
57,63000020,松德耳鼻喉科診所,,,,,1,1,,,,,臺北市信義區松德路58號,(02)27584958,
58,63000020,桂其安家醫科診所,,,,,1,1,,,,,臺北市信義區莊敬路462號,(02)27229173,
59,63000020,台灣中油股份有限公司員工診所,,,,,1,,1,,,,臺北市信義區松仁路3號3樓,(02)87259796,
60,63000020,德佑診所,,,,,1,,,,,,臺北市信義區福德街215號,(02)27596037,
61,63000020,嚴敏心耳鼻喉科診所,,,,,,1,,,,,臺北市信義區松山路541巷4號1樓,(02)27279558,
62,63000030,國泰醫療財團法人國泰綜合醫院,1,1,1,1,1,1,1,1,1,1,臺北市大安區仁愛路四段280號,(02)27082121,
63,63000030,臺北市立聯合醫院仁愛院區,1,1,1,1,1,1,1,1,1,1,臺北市大安區仁愛路四段10號,(02)27093600,
64,63000030,尹書田醫療財團法人書田泌尿科眼科診所,,1,1,1,1,1,1,1,1,1,臺北市大安區建國南路二段276號,(02)23690211,
65,63000030,臺北市立聯合醫院附設大安門診部,1,1,1,1,1,1,1,1,,,臺北市大安區辛亥路三段15號1樓,(02)27390997,
66,63000030,中山醫療社團法人中山醫院,,1,1,1,1,1,1,1,,1,臺北市大安區仁愛路四段112巷11號,(02)27081166,
67,63000030,松德診所,,1,1,1,1,1,1,1,,1,臺北市大安區四維路170巷16號1樓,(02)27073326,
68,63000030,健華診所,,1,1,1,1,1,1,1,,1,臺北市大安區和平東路二段299號,(02)27072990,
69,63000030,小禾馨小兒專科診所,1,1,1,1,1,1,,1,,,臺北市大安區新生南路三段4號1樓,(02)23698833,
70,63000030,家齡診所,,1,1,1,1,1,1,1,,,臺北市大安區敦化南路一段191號B1,(02)27211258,
71,63000030,夏爾診所,,1,1,1,1,1,1,,,1,臺北市大安區信義路四段265巷54號,(02)23255508,
72,63000030,那明珠診所,,1,1,1,1,1,,1,,1,臺北市大安區和平東路三段8號,(02)27360589,
73,63000030,安東診所,,1,1,1,1,1,1,,,,臺北市大安區和平東路二段229號,(02)27088995,
74,63000030,呂小兒科診所,,1,1,1,1,1,1,,,,臺北市大安區通化街24巷6號1樓,(02)27000708,
75,63000030,李細祥內科診所,,1,1,1,1,1,1,,,,臺北市大安區四維路198巷30弄5號,(02)27018159,
76,63000030,林繼國診所,,1,1,1,1,1,1,,,,臺北市大安區忠孝東路三段217巷1弄12號1樓,(02)27315568,
77,63000030,邱醫師診所,,1,1,1,1,1,1,,,,臺北市大安區和平東路三段288號,(02)27392696,
78,63000030,樂益耳鼻喉科診所,,1,1,1,1,1,1,,,,臺北市大安區復興南路二段161號1樓,(02)27096199,
79,63000030,伊生診所,,1,1,1,1,1,1,,,,臺北市大安區忠孝東路四段216巷32弄15號,(02)27751301,
80,63000030,吳坤光婦產科診所,,1,1,1,1,1,1,,,,臺北市大安區信義路四段59號,(02)27059320,
81,63000030,許靜瑛小兒科診所,,1,1,1,1,1,,1,,,臺北市大安區和平東路一段230號1樓,(02)23629088,
82,63000030,黃文香兒科診所,,1,1,1,1,1,,1,,,臺北市大安區忠孝東路四段250號2樓之1,(02)27313305,
83,63000030,劉建宏診所,,1,1,1,1,1,,1,,,臺北市大安區大安路二段139號,(02)27002368,
84,63000030,禾馨新生婦幼診所,,1,1,1,1,1,,1,,,臺北市大安區新生南路三段2號,(02)23682333,
85,63000030,澤星親子診所,,1,1,1,1,,1,1,,,臺北市大安區敦化南路1段376號二樓之2,(02)27018848,
86,63000030,博全婦產科診所,,1,1,1,1,1,,,,,臺北市大安區大安路一段18號,(02)27774427,
87,63000030,葉明憲小兒科診所,,1,1,1,1,1,,,,,臺北市大安區羅斯福路三段191號2樓,(02)23691688,
88,63000030,和平診所,,1,1,1,1,,1,,,,臺北市大安區和平東路一段77號之2,(02)23912000,
89,63000030,啟誠聯合診所,,,1,1,1,1,1,,,,臺北市大安區和平東路二段120號,(02)23784380,
90,63000030,仁安診所,,,1,1,1,1,1,,,,臺北市大安區和平東路二段175巷34號,(02)27065995,
91,63000030,瑞森診所,,,1,1,1,1,1,,,,臺北市大安區信義路三段134巷100號,(02)27076002,
92,63000030,愛群兒童成長診所,,1,1,1,1,,,,,,臺北市大安區信義路三段155號1樓,(02)55998330,
93,63000030,全家聯合診所,,1,,,,1,1,1,,,臺北市大安區和平東路二段353號,(02)27067575,
94,63000030,博安家庭醫學診所,,,1,1,1,,1,,,,臺北市大安區麗水街3號,(02)23567066,
95,63000030,東風診所,,,,1,1,1,1,,,,臺北市大安區忠孝東路四段132號4樓,(02)27775868,
96,63000030,國立臺灣大學醫學院附設醫院癌醫中心分院,,,,,1,1,1,,,,臺北市大安區基隆路三段155巷57號,(02)23220322,
97,63000030,中心診所醫療財團法人中心綜合醫院,,,,,1,1,1,,,,臺北市大安區忠孝東路四段77號,(02)27510221,
98,63000030,宏恩醫療財團法人宏恩綜合醫院,,,,,1,1,1,,,,臺北市大安區仁愛路四段71巷1號,(02)27713161,
99,63000030,安仁診所,,,,,1,1,1,,,,臺北市大安區安和路一段29號6樓,(02)87733676,
100,63000030,行一診所,,,,,1,1,1,,,,臺北市大安區新生南路三段19巷8號3樓之1,(02)27840735,
101,63000030,李唯通診所,,,,,1,1,1,,,,臺北市大安區安居街19號,(02)23773506,
102,63000030,沈德昌診所,,,,,1,1,1,,,,臺北市大安區四維路189號,(02)27035300,
103,63000030,逸林診所,,,,,1,1,1,,,,臺北市大安區信義路四段109之2號,(02)27006896,
104,63000030,新鑫耳鼻喉科診所,,,,,1,1,1,,,,臺北市大安區師大路105巷13號1樓,(02)23621201,
105,63000030,樂活診所,,,,,1,1,1,,,,臺北市大安區師大路12號,(02)23683883,
106,63000030,謝婦產科診所,,,,,1,1,1,,,,臺北市大安區忠孝東路四段311號3樓之1,(02)27728300,
107,63000030,櫟安診所,,,,,1,1,1,,,,臺北市大安區金山南路二段200號11樓,(02)23582138,
108,63000030,周大中婦產科診所,,1,,,,1,,,,,臺北市大安區敦化南路二段46號2樓,(02)27552757,
109,63000030,國立台灣大學保健中心,,,,1,1,,,,,,臺北市大安區羅斯福路四段1號,(02)33662156,
110,63000030,秀傳醫院,,,,,1,1,,,,,臺北市大安區光復南路116巷1號B1-4樓,(02)27717172,
111,63000030,林青穀家庭醫學科診所,,,,,1,1,,,,,臺北市大安區大安路一段2號之1,(02)27317557,
112,63000030,林正宗婦產科診所,,1,,,,,,,,,臺北市大安區和平東路三段100號2樓,(02)27337008,
113,63000030,許世賓婦產科診所,,1,,,,,,,,,臺北市大安區和平東路一段169號2樓,(02)33932211,
114,63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,1,1,1,1,1,1,1,1,1,,臺北市中山區中山北路二段92號,(02)25433535,
115,63000040,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,1,1,1,1,1,1,1,1,,1,臺北市中山區中山北路二段92號,(02)25433535,
116,63000040,臺北市立聯合醫院附設中山門診部,1,1,1,1,1,1,1,1,,1,臺北市中山區松江路367號1樓,(02)25013363,
117,63000040,協和婦女醫院,1,1,1,1,1,1,1,1,,,臺北市中山區松江路85巷5號,(02)25072222,
118,63000040,莊宇龍診所,,1,1,1,1,1,1,1,,1,臺北市中山區北安路637號1樓,(02)25331255,
119,63000040,雙連婦產科小兒科診所,,1,1,1,1,1,1,1,,1,臺北市中山區民生西路30號4樓,(02)25222350,
120,63000040,綠葉親子診所,,1,1,1,1,1,1,1,,1,臺北市中山區農安街12-1號1樓,(02)25935559,
121,63000040,木生婦幼診所,1,1,1,1,1,1,,1,,,臺北市中山區長安東路二段90號1-4樓,(02)25012312,
122,63000040,永育樂群診所,,1,1,1,1,1,1,1,,,臺北市中山區樂群二路210之2號,(02)85012268,
123,63000040,陳炯輝診所,,1,1,1,1,1,1,1,,,臺北市中山區民生東路二段103號,(02)25221796,
124,63000040,榮星診所,,1,1,1,1,1,1,,,1,臺北市中山區龍江路272號,(02)25168112,
125,63000040,愛鄰診所,,1,1,1,1,1,,1,,1,臺北市中山區北安路520-1號,(02)25322333,
126,63000040,四季和安婦幼診所,1,1,1,1,1,,,1,,,臺北市中山區林森北路458號,(02)25677310,
127,63000040,大直佳恩診所,,1,1,1,1,1,1,,,,臺北市中山區北安路591號,(02)25323301,
128,63000040,大直診所,,1,1,1,1,1,1,,,,臺北市中山區北安路595巷2弄2號1樓,(02)25332339,
129,63000040,北安聯合診所,,1,1,1,1,1,1,,,,臺北市中山區北安路569-3號,(02)25337777,
130,63000040,杏慈診所,,1,1,1,1,1,1,,,,臺北市中山區民權東路二段152巷2-1號1樓,(02)25013109,
131,63000040,固廉診所,,1,1,1,1,1,1,,,,臺北市中山區北安路613號595巷1號地下一層,(02)25323036,
132,63000040,高固廉診所,,1,1,1,1,1,1,,,,臺北市中山區北安路613號,(02)25323036,
133,63000040,惟廉診所,,1,1,1,1,1,1,,,,臺北市中山區北安路595巷1號B1,(02)25323036,
134,63000040,慶恩小兒科診所,,1,1,1,1,1,1,,,,臺北市中山區吉林路117號,(02)25683199,
135,63000040,龍江小兒科診所,,1,1,1,1,1,1,,,,臺北市中山區龍江路181-1號1樓,(02)25152433,
136,63000040,龍江固廉診所,,1,1,1,1,1,1,,,,臺北市中山區龍江路360號,(02)25170093,
137,63000040,中崙國際診所,,1,1,1,1,1,1,,,,臺北市中山區八德路二段305號1樓,(02)27711501,
138,63000040,寧康聯合診所,,1,1,1,1,1,,1,,,臺北市中山區龍江路209巷6-1號,(02)25013862,
139,63000040,鄭志誠小兒科診所,,1,1,1,1,1,,,,1,臺北市中山區民生東路一段8號,(02)25512246,
140,63000040,晴光診所,,1,1,1,1,1,,,,,臺北市中山區林森北路556號1樓,(02)25853210,
141,63000040,正恩耳鼻喉科診所,,,1,1,1,1,1,,,,臺北市中山區錦州街321號,(02)25052293,
142,63000040,農安診所,,,1,1,1,1,1,,,,臺北市中山區農安街62號,(02)25978590,
143,63000040,德美診所,,,1,1,1,1,1,,,,臺北市中山區北安路596號1樓,(02)25326618,
144,63000040,陳世澤內科診所,,,,1,1,1,1,,,,臺北市中山區龍江路284-1號,(02)25011239,
145,63000040,李義男婦產科診所,,1,,,1,1,,,,,臺北市中山區中山北路二段71號4樓,(02)25361158,
146,63000040,臺北市立聯合醫院林森院區,,,,,1,1,1,,,,臺北市中山區林森北路530號,(02)25916681,
147,63000040,民生承安診所,,,,,1,1,1,,,,臺北市中山區民生東路三段90號,(02)25032633,
148,63000040,李宜霖診所,,,,,1,1,1,,,,臺北市中山區植福路298號,(02)26582669,
149,63000040,宗北內科診所,,,,,1,1,1,,,,臺北市中山區民生西路24號2樓,(02)25411001,
150,63000040,信安診所,,,,,1,1,1,,,,臺北市中山區民生西路24號3樓,(02)25118112,
151,63000040,聖和骨外科診所,,,,,1,1,1,,,,臺北市中山區農安街140號,(02)25969131,
152,63000040,晨昕診所,,,,,1,1,1,,,,臺北市中山區復興北路350號3樓,(02)25181268,
153,63000040,沐晴診所,,,,,1,1,1,,,,臺北市中山區龍江路401號1樓,(02)25189009,
154,63000040,吳振力診所,,,,,1,1,,,,,臺北市中山區長春路309號,(02)25095909,
155,63000040,禾康診所,,,,1,1,,,,,,臺北市中山區林森北路486號1樓,(02)25319998,
156,63000040,啟新診所,,,,,1,1,,,,,臺北市中山區建國北路三段42號5、6樓,(02)25070723,
157,63000040,葉小兒科診所,,,,,1,1,,,,,臺北市中山區長春路227號,(02)25054833,
158,63000040,慶生診所,,,,,1,1,,,,,臺北市中山區林森北路561號2樓,(02)25983456,
159,63000040,麗安耳鼻喉科診所,,,,,1,1,,,,,臺北市中山區龍江路289號1樓,(02)25068080,
160,63000040,王三郎婦產科診所,,,,,1,,1,,,,臺北市中山區中山北路二段166號之2,(02)25948758,
161,63000040,長安診所,,,,,1,,,,,,臺北市中山區八德路二段259號,(02)27111000,
162,63000040,柏安診所,,,,,"1
限院內腎友及家屬",1,,,,,臺北市中山區長安東路二段88號及90號10樓,(02)25019010,
163,63000050,臺北市立聯合醫院和平院區,1,1,1,1,1,1,1,1,1,1,臺北市中正區中華路二段33號,(02)23889595,
164,63000050,臺北市立聯合醫院婦幼院區,1,1,1,1,1,1,1,1,,1,臺北市中正區福州街12號,(02)23916470,
165,63000050,國立臺灣大學醫學院附設醫院兒童醫院,1,1,1,1,1,1,1,1,,1,臺北市中正區中山南路8號,(02)23123456,02-2356-7890
166,63000050,臺北市立聯合醫院附設中正門診部,1,1,1,1,1,1,1,1,,,臺北市中正區牯嶺街24號,(02)23210168,
167,63000050,禾馨婦產科診所,1,1,1,1,1,1,,1,,,臺北市中正區懷寧街78號1樓,(02)23612323,
168,63000050,周正成小兒科診所,,1,1,1,1,1,,1,,,臺北市中正區徐州路24號,(02)23516830,
169,63000050,悅心診所,,1,1,1,1,1,,,,,臺北市中正區羅斯福路二段7-2號,(02)23961008,
170,63000050,和眾綜合診所,,,1,1,1,1,1,,,,臺北市中正區忠孝西路一段6號1樓,(02)23818766,
171,63000050,健康101診所,,,1,1,1,1,1,,,,臺北市中正區牯嶺街97號1樓,(02)23648085,
172,63000050,國立臺灣大學醫學院附設醫院,,,,,1,1,1,1,1,,臺北市中正區中山南路7、8號；常德街1號,(02)23123456,02-2356-7890
173,63000050,郵政醫院(委託中英醫療社團法人經營),,,,,1,1,1,,,,臺北市中正區福州街14號,(02)23956755,
174,63000050,丞泰耳鼻喉科診所,,,,,1,1,1,,,,臺北市中正區南昌路一段78號,(02)23973668,
175,63000050,同泰診所,,,,,1,1,1,,,,臺北市中正區汀州路二段136、138號,(02)23678511,
176,63000050,宜康診所,,,,,1,1,1,,,,臺北市中正區新生南路一段148號1樓,(02)23417696,
177,63000050,怡和診所,,,,,1,1,1,,,,臺北市中正區汀州路二段212號,(02)23625100,
178,63000050,國軍台北門診中心附設民眾診療服務處,,,,,1,1,1,,,,臺北市中正區紹興南街7號,(02)23918235,
179,63000050,張孟源內科診所,,,,,1,1,1,,,,臺北市中正區中華路二段325號1樓,(02)23098600,
180,63000050,博士診所,,,,,1,1,1,,,,臺北市中正區南陽街8號B1,(02)23120120,
181,63000050,惠恩診所,,,,,1,1,1,,,,臺北市中正區濟南路二段48巷3-2號1樓,(02)23919572,
182,63000050,滙安診所,,,,,1,1,1,,,,臺北市中正區和平西路一段20號5樓,(02)23637588,
183,63000050,銘人診所,,,,,1,1,1,,,,臺北市中正區博愛路9號3樓,(02)77557566,
184,63000050,元泰診所,,,,,1,1,,,,,臺北市中正區羅斯福路三段2號2樓,(02)23680599,
185,63000050,家禾診所,,,,,1,1,,,,,臺北市中正區三元街217號1樓、2樓,(02)23331368,
186,63000050,鈞安診所,,,,,1,1,,,,,臺北市中正區中華路二段431號1樓,(02)23092030,
187,63000050,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,,,,,1,,1,,,,臺北市中正區永綏街8號,(02)23111525,
188,63000060,臺北市立聯合醫院中興院區,1,1,1,1,1,1,1,1,1,1,臺北市大同區鄭州路145號,(02)25523234,
189,63000060,臺北市立聯合醫院附設大同門診部,1,1,1,1,1,1,1,1,,1,臺北市大同區昌吉街52號1樓,(02)25948971,
190,63000060,羅源彰診所,,1,1,1,1,1,1,1,,1,臺北市大同區長安西路137號,(02)25552500,
191,63000060,寧夏診所,,1,1,1,1,1,1,1,,,臺北市大同區民生西路236號1樓,(02)25586060,
